 All isoforms	 All isoforms	 All isoforms	 All isoforms	 All isoforms	 All isoforms	 All isoforms	 Primary isoforms	 Primary isoforms	 Primary isoforms	 Primary isoforms	 Primary isoforms	 Primary isoforms
Species	S. laevis	S. laevis	S. laevis	S. leprosula	S. leprosula	S. leprosula	S. laevis	S. laevis	S. laevis	S. leprosula	S. leprosula	S. leprosula
Base substituion class	Synonymous	Missense	Nonsense	Synonymous	Missense	Nonsense	Synonymous	Missense	Nonsense	Synonymous	Missense	Nonsense
AT>GC	0.341810973	0.658189027	0	0.341773307	0.658226693	0	0.341677509	0.658322491	0	0.341531802	0.658468198	0
GC>AT	0.336315981	0.590334431	0.073349589	0.33646668	0.590229348	0.073303971	0.336413962	0.590330356	0.073255683	0.336669263	0.589964845	0.073365892
AT>TA	0.165744263	0.745685403	0.088570335	0.16498466	0.746084339	0.088931001	0.165692593	0.74573713	0.088570277	0.164939203	0.746197944	0.088862853
GC>TA	0.144339404	0.762533424	0.093127172	0.143047393	0.763316219	0.093636388	0.144498459	0.762441293	0.093060248	0.143336558	0.763126555	0.093536887
AT>CG	0.178582044	0.804726819	0.016691138	0.177812086	0.805420894	0.01676702	0.178564995	0.804745728	0.016689277	0.177908939	0.805387961	0.0167031
GC>CG	0.122058554	0.854900192	0.023041254	0.120883613	0.855947809	0.023168579	0.122160113	0.854794556	0.02304533	0.121152899	0.855738221	0.02310888
